gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,average_score,sum_click
1,1,0.75,1,0,60,1,3,78.85,245.0
1,2,0.95,1,0,60,1,0,68.6,386.0
0,2,0.45,2,0,60,1,3,69.0,320.0
0,2,0.75,1,0,60,1,0,70.4,239.0
1,2,0.45,2,0,60,1,0,70.9,515.0
1,1,0.15,2,0,60,1,0,64.9,302.0
0,3,0.47,2,0,60,1,0,71.1,697.0
1,2,0.47,2,0,60,1,0,61.4,415.0
0,3,0.95,3,0,60,1,0,80.1,1643.0
0,3,0.47,2,0,60,1,0,81.7,1311.0
0,3,0.75,2,0,60,1,0,78.8,437.0
1,2,0.85,1,0,180,1,1,36.0,50.0
0,2,0.35,1,0,120,1,0,51.7,858.0
1,2,0.85,2,0,120,1,3,76.0,145.0
1,2,0.65,1,0,60,1,0,54.0,547.0
0,2,0.15,1,0,180,1,0,46.6,368.0
0,3,0.85,2,0,170,1,0,58.7,477.0
0,3,0.15,1,0,120,1,1,74.0,99.0
0,3,0.35,2,0,60,1,0,75.6,585.0
0,2,0.55,2,0,60,1,2,89.4,1922.0
0,2,0.75,2,0,120,1,3,70.18,393.0
0,2,0.95,1,0,120,1,0,78.8,442.0
1,1,0.95,1,0,60,1,0,66.7,804.0
0,2,0.95,1,0,60,1,3,50.0,352.0
0,1,0.55,2,0,60,1,0,50.8,280.0
1,2,0.35,1,0,60,1,3,66.4,297.0
0,3,0.85,2,0,60,1,0,72.2,563.0
0,2,0.45,1,0,90,0,1,54.6,117.0
1,2,0.15,2,0,60,1,2,83.5,807.0
0,3,0.47,1,0,180,1,1,61.7,387.0
0,3,0.65,1,0,60,1,0,74.8,136.0
0,1,0.55,1,0,60,1,0,60.7,166.0
0,2,0.25,1,0,60,1,0,65.1,163.0
0,2,0.55,1,0,60,1,0,77.5,349.0
0,2,0.45,1,0,240,1,0,66.0,435.0
0,2,0.95,1,0,240,1,3,57.09,71.0
0,4,0.95,1,0,60,1,0,75.5,210.0
0,3,0.95,3,0,60,1,0,79.5,743.0
0,3,0.85,1,0,80,1,0,74.2,107.0
0,2,0.95,1,0,120,1,0,56.4,191.0
0,3,0.95,2,0,60,1,0,78.8,573.0
1,3,0.65,2,0,60,1,1,59.6,627.0
0,3,0.25,2,0,60,1,0,79.2,263.0
0,2,0.95,2,0,60,1,0,54.8,351.0
0,1,0.25,1,0,90,1,0,78.9,752.0
0,1,0.25,2,0,60,1,0,68.4,815.0
0,3,0.15,1,0,120,1,0,77.7,518.0
1,1,0.35,1,0,60,1,0,59.1,299.0
1,1,0.75,2,0,60,1,0,64.4,1370.0
1,2,0.85,2,0,60,1,3,35.0,134.0
0,2,0.25,2,0,60,1,0,72.1,345.0
1,2,0.35,2,0,60,1,0,76.0,717.0
0,2,0.15,2,0,90,1,1,75.5,716.0
0,2,0.35,1,0,180,1,3,40.33,55.0
0,2,0.85,2,0,60,1,0,76.9,639.0
1,2,0.65,1,0,60,1,3,67.2,470.0
0,1,0.45,1,0,60,1,2,79.6,297.0
1,2,0.35,1,0,150,1,0,73.8,183.0
0,1,0.75,2,0,60,1,1,54.3,77.0
0,3,0.35,1,0,60,1,1,69.71,28.0
0,2,0.35,2,0,60,1,0,58.8,478.0
0,2,0.95,2,0,60,1,0,73.5,284.0
0,2,0.95,1,0,120,1,0,67.9,144.0
0,2,0.25,1,0,60,1,0,69.8,496.0
0,2,0.35,1,0,60,1,0,74.5,153.0
0,2,0.95,2,0,60,1,2,82.9,1879.0
1,2,0.95,2,0,180,1,3,69.71,364.56
0,2,0.75,1,0,120,1,0,46.11,114.0
0,3,0.95,3,0,60,1,0,78.7,438.0
0,2,0.95,1,0,60,1,0,51.0,256.0
0,2,0.45,2,0,240,1,1,66.32,300.0
0,4,0.95,3,0,60,1,2,84.3,511.0
1,3,0.85,1,0,60,1,0,81.8,201.0
0,2,0.35,2,0,60,1,0,78.3,580.0
1,2,0.45,1,0,60,1,1,58.8,165.0
0,2,0.75,1,0,60,1,1,64.0,44.0
0,2,0.75,1,0,120,0,0,78.1,368.0
1,1,0.85,1,0,120,1,3,69.71,26.0
0,2,0.55,2,0,120,1,0,54.9,322.0
0,2,0.95,2,0,60,1,0,82.6,378.0
1,2,0.15,1,0,60,1,0,60.9,1112.0
1,3,0.15,1,0,60,1,0,81.3,401.0
0,2,0.75,1,0,60,1,0,61.86,377.0
0,2,0.65,3,0,120,1,0,60.4,696.0
0,4,0.95,3,0,60,1,2,87.8,1835.0
0,2,0.95,1,0,60,1,0,58.5,106.0
1,3,0.85,1,0,120,1,0,66.6,460.0
1,2,0.55,1,0,60,1,0,78.6,1933.0
0,3,0.95,3,0,60,1,0,80.2,2133.0
0,3,0.45,2,0,60,1,0,80.2,610.0
1,2,0.15,2,0,60,1,0,57.5,494.0
0,2,0.95,1,0,120,1,0,64.6,74.0
1,3,0.95,2,0,60,1,3,84.91,527.0
1,2,0.65,2,0,60,1,0,75.1,448.0
0,2,0.25,1,0,120,1,0,62.6,136.0
0,3,0.85,1,0,60,1,0,74.2,178.0
1,2,0.55,1,0,150,1,1,51.67,122.0
1,2,0.05,1,0,240,0,3,36.0,100.0
1,2,0.25,1,0,60,1,3,87.2,731.0
0,2,0.95,1,0,120,1,0,67.4,396.0
0,2,0.85,1,0,60,1,0,47.8,125.0
0,1,0.45,1,0,180,1,1,63.8,113.0
1,3,0.75,1,0,60,1,3,83.09,228.0
0,1,0.55,3,0,60,1,0,78.4,447.0
0,3,0.05,1,0,60,1,0,61.5,323.0
0,3,0.75,2,0,120,1,0,79.6,1217.0
0,2,0.15,1,0,60,1,1,47.4,53.0
0,2,0.65,1,0,180,0,0,79.5,213.0
0,2,0.35,1,0,60,1,2,82.0,737.0
0,2,0.55,1,0,120,1,0,82.4,272.0
1,3,0.55,2,0,120,1,1,69.71,40.0
0,3,0.85,2,0,60,1,0,73.4,316.0
0,3,0.95,2,0,120,1,3,69.71,46.0
0,2,0.15,1,0,60,1,1,58.6,88.0
0,1,0.75,2,0,60,1,1,69.71,242.0
1,2,0.05,1,0,120,1,0,55.6,403.0
0,1,0.15,2,0,60,1,0,70.4,755.0
0,3,0.45,1,0,60,1,0,77.0,488.0
1,2,0.55,1,0,120,0,0,49.1,169.0
0,3,0.55,2,0,120,1,1,53.7,124.0
0,1,0.05,1,0,180,1,0,67.4,225.0
0,3,0.47,1,0,60,1,2,87.3,761.0
1,2,0.85,2,0,60,1,0,73.0,627.0
0,2,0.85,1,0,60,1,0,67.0,374.0
0,2,0.95,1,0,120,1,0,76.3,272.0
0,1,0.47,1,0,120,1,0,68.9,96.0
0,2,0.75,1,0,120,1,0,68.8,357.0
1,1,0.85,2,0,60,1,0,63.7,222.0
0,2,0.95,2,0,60,1,0,61.9,245.0
0,2,0.05,1,0,90,1,3,68.33,217.0
0,2,0.75,1,0,120,1,1,43.5,167.0
1,2,0.55,2,0,120,1,0,69.1,958.0
0,2,0.65,1,0,60,1,0,74.8,237.0
0,3,0.55,1,0,180,1,0,61.1,307.0
0,1,0.95,1,0,240,1,1,45.0,323.0
1,1,0.85,1,0,60,1,0,67.0,352.0
0,1,0.55,2,0,60,1,0,70.7,346.0
0,1,0.25,2,0,120,1,0,41.6,152.0
0,2,0.25,1,0,120,1,0,77.3,409.0
0,2,0.95,1,0,240,0,3,69.71,364.56
0,2,0.55,1,0,120,1,0,76.0,322.0
0,3,0.05,2,0,90,1,3,58.2,297.0
0,2,0.45,1,0,60,0,1,75.2,137.0
1,2,0.75,1,0,60,1,0,58.3,125.0
1,2,0.75,1,0,150,1,0,61.0,245.0
0,2,0.25,1,0,120,1,0,70.0,272.0
0,3,0.85,1,0,120,1,3,41.0,295.0
0,3,0.35,1,0,60,1,2,86.9,507.0
0,3,0.95,2,0,60,1,3,76.0,81.0
1,2,0.25,1,0,60,1,0,70.0,808.0
1,2,0.85,1,0,60,1,1,69.71,21.0
0,3,0.85,1,0,120,1,0,65.0,231.0
0,3,0.85,2,0,60,1,0,72.6,342.0
0,2,0.45,1,0,120,1,0,69.9,274.0
0,3,0.95,1,0,120,1,0,73.2,235.0
0,3,0.45,1,0,120,1,0,81.0,714.0
0,3,0.65,1,0,60,1,0,73.0,236.0
0,3,0.85,1,0,120,1,1,58.0,88.0
1,3,0.35,1,0,60,1,3,80.33,84.0
0,3,0.75,1,0,120,1,0,73.7,200.0
0,3,0.95,1,0,120,1,0,70.6,316.0
0,2,0.35,1,0,120,1,1,40.0,76.0
0,2,0.95,1,0,120,1,0,82.4,1733.0
0,4,0.95,2,0,60,1,0,73.4,209.0
0,3,0.47,3,0,60,1,3,64.0,241.0
0,4,0.95,2,0,60,1,1,62.0,129.0
0,3,0.95,3,0,120,1,0,66.3,742.0
0,2,0.65,3,0,120,1,2,80.7,1441.0
1,1,0.55,3,0,120,1,3,32.5,282.0
0,1,0.75,3,0,60,1,0,70.2,1177.0
0,2,0.65,3,0,60,1,2,81.5,1829.0
1,2,0.95,2,0,60,1,0,78.0,875.0
1,2,0.55,2,0,60,1,0,60.3,559.0
0,3,0.45,2,0,60,1,0,77.2,391.0
1,2,0.45,2,0,60,1,0,73.4,268.0
0,2,0.85,2,0,180,1,3,56.57,746.0
1,3,0.95,2,0,60,1,0,67.2,760.0
0,3,0.95,2,0,60,1,0,56.5,1143.0
1,1,0.35,2,0,60,1,0,69.9,572.0
0,3,0.85,3,0,60,1,0,81.2,512.0
0,2,0.25,2,0,60,1,3,66.77,174.0
0,2,0.75,2,0,60,1,1,31.67,85.0
1,3,0.35,2,0,60,1,0,75.0,310.0
1,2,0.15,2,0,120,1,1,59.33,397.0
0,2,0.95,2,0,60,1,3,63.0,138.0
0,3,0.45,2,0,120,1,0,80.9,994.0
1,1,0.45,2,0,60,0,1,62.6,230.0
0,2,0.75,2,0,60,1,0,60.2,721.0
1,1,0.85,2,0,60,1,0,72.2,1183.0
0,1,0.95,2,0,60,1,0,77.9,147.0
0,3,0.95,2,0,60,1,1,75.0,218.0
0,2,0.65,2,0,60,1,2,84.9,1681.0
0,2,0.35,2,0,60,1,0,85.3,1433.0
1,1,0.55,2,0,60,1,3,68.0,201.0
1,3,0.45,2,0,60,1,0,77.5,765.0
0,2,0.65,2,0,60,1,0,84.0,534.0
0,1,0.35,2,0,75,1,3,59.67,650.0
1,2,0.15,2,0,60,1,3,69.71,30.0
0,3,0.75,3,0,60,1,0,67.5,1712.0
0,3,0.47,2,0,60,1,0,76.7,371.0
0,2,0.35,2,0,60,1,0,77.8,134.0
0,1,0.45,2,0,60,1,0,69.1,1623.0
0,1,0.45,2,0,300,0,0,62.8,1328.0
0,2,0.55,2,0,60,1,0,71.2,575.0
1,2,0.75,2,0,60,0,0,73.2,307.0
1,2,0.85,1,0,60,1,0,69.7,490.0
0,2,0.95,2,0,60,1,0,71.2,607.0
1,1,0.45,2,0,120,0,0,54.9,164.0
0,1,0.05,2,0,60,1,3,83.8,2007.0
0,1,0.55,2,0,120,1,0,62.87,354.0
1,2,0.95,1,0,60,0,0,75.6,419.0
0,1,0.35,2,0,60,1,0,79.1,148.0
1,1,0.75,2,0,60,1,0,67.3,441.0
1,2,0.65,1,0,60,1,1,62.1,738.0
0,2,0.35,2,0,330,0,3,36.8,248.0
1,1,0.35,2,0,60,1,3,58.0,329.0
1,2,0.95,2,0,60,1,0,67.2,361.0
1,2,0.05,1,0,120,1,0,68.1,258.0
1,1,0.55,2,0,60,1,1,59.0,465.0
0,1,0.05,2,0,60,1,0,64.1,197.0
1,1,0.85,2,0,60,1,2,82.3,977.0
0,2,0.55,2,0,120,1,3,66.67,446.0
1,1,0.75,2,0,60,1,0,52.9,352.0
0,3,0.25,3,0,60,1,0,70.0,720.0
0,2,0.75,2,0,60,0,3,69.71,88.0
1,2,0.45,1,0,60,1,0,61.8,821.0
1,1,0.85,1,0,60,0,0,73.9,306.0
1,2,0.45,1,0,120,1,1,70.0,76.0
1,2,0.35,2,0,60,1,0,68.4,398.0
1,2,0.75,2,0,60,1,0,66.3,1383.0
1,2,0.55,2,0,60,1,0,67.3,434.0
1,3,0.35,2,0,60,1,0,75.7,415.0
0,2,0.25,1,0,60,1,0,69.9,374.0
1,2,0.15,2,0,60,1,0,77.1,911.0
1,2,0.85,2,0,120,1,3,49.0,618.0
1,2,0.25,1,0,60,1,0,83.6,624.0
0,1,0.35,2,0,60,1,0,48.9,111.0
0,2,0.95,1,0,150,1,0,60.5,110.0
1,3,0.25,2,0,60,1,3,36.2,315.0
0,2,0.95,2,0,60,1,3,76.0,364.56
1,3,0.95,2,0,60,1,3,69.71,364.56
1,1,0.45,2,0,120,1,0,58.8,194.0
1,1,0.45,1,0,60,1,2,80.5,155.0
0,1,0.25,2,0,60,1,1,74.2,518.0
1,2,0.65,1,0,60,1,1,49.29,144.0
1,3,0.47,1,0,60,1,1,69.8,544.0
1,2,0.75,1,0,180,1,3,70.09,106.0
1,3,0.95,1,0,60,0,0,81.6,2230.0
0,3,0.25,1,0,300,1,3,69.71,364.56
1,2,0.85,1,0,120,1,0,75.7,510.0
1,1,0.75,2,0,60,1,0,51.2,480.0
1,2,0.25,1,0,120,1,0,75.5,302.0
0,2,0.95,1,0,60,1,3,72.71,188.0
1,2,0.85,1,0,120,1,1,45.3,125.0
0,3,0.25,1,0,120,1,3,81.0,239.0
0,1,0.55,2,0,90,1,2,83.1,976.0
1,2,0.85,2,0,60,1,0,77.5,698.0
0,2,0.15,2,0,120,0,3,51.0,159.0
1,2,0.35,1,0,60,1,0,74.9,676.0
1,2,0.35,1,0,60,1,0,60.5,261.0
0,1,0.85,2,0,120,1,1,21.6,73.0
0,1,0.85,2,0,180,1,0,70.5,425.0
0,1,0.85,2,0,60,1,0,91.0,1148.0
0,3,0.95,3,0,60,1,0,77.1,696.0
0,3,0.75,3,0,60,1,1,54.0,238.0
1,1,0.25,2,0,60,1,1,44.56,165.0
1,3,0.55,3,0,60,1,3,67.0,680.0
0,2,0.45,1,0,60,1,0,79.7,129.0
0,1,0.85,2,0,60,1,0,74.8,498.0
0,1,0.95,1,0,120,1,0,55.8,413.0
1,3,0.95,1,0,120,1,0,74.4,576.0
1,1,0.45,1,0,240,1,0,77.9,852.0
0,3,0.45,2,0,60,1,0,79.2,1063.0
0,2,0.95,1,0,60,1,0,76.7,447.0
1,1,0.15,1,0,60,1,0,61.5,363.0
0,2,0.25,3,0,120,1,0,62.29,228.0
1,3,0.65,2,0,60,1,0,78.8,336.0
1,2,0.85,1,0,60,1,0,60.3,358.0
0,3,0.95,3,0,60,1,2,83.4,392.0
1,1,0.45,1,0,60,1,3,69.71,61.0
1,3,0.47,2,0,60,1,0,62.8,663.0
1,1,0.95,1,0,60,1,0,63.4,503.0
1,3,0.85,2,0,120,1,3,50.67,93.0
1,3,0.95,2,0,60,1,0,79.2,1038.0
0,3,0.85,3,0,60,1,0,81.6,1808.0
0,1,0.35,1,0,60,1,0,73.1,218.0
0,2,0.75,1,0,60,1,0,65.4,67.0
1,2,0.85,1,0,60,1,0,70.9,416.0
1,2,0.95,2,0,60,1,0,71.8,387.0
0,2,0.95,1,0,120,1,3,72.6,6.0
0,3,0.47,2,0,60,1,0,77.3,396.0
0,1,0.75,2,0,60,1,0,71.9,428.0
0,2,0.75,1,0,60,1,3,64.0,85.0
1,2,0.15,1,0,60,0,0,80.1,477.0
1,1,0.85,2,0,60,1,0,72.8,729.0
1,2,0.55,1,0,60,1,0,73.5,302.0
1,2,0.85,2,0,60,1,0,74.0,549.0
1,2,0.35,1,0,120,1,0,75.7,328.0
0,2,0.25,1,0,60,1,0,70.1,146.0
1,2,0.95,1,0,60,1,0,72.2,198.0
1,1,0.15,2,0,60,1,0,79.8,264.0
1,2,0.85,1,0,60,1,0,65.2,423.0
0,2,0.45,1,0,60,0,1,69.71,29.0
0,2,0.15,1,0,120,1,0,52.62,303.0
1,2,0.95,2,0,60,1,0,79.9,789.0
0,1,0.35,2,0,120,1,0,66.5,628.0
0,1,0.55,2,0,60,1,0,79.2,1329.0
1,2,0.85,2,0,60,1,0,48.8,784.0
1,2,0.45,1,0,180,1,0,81.2,543.0
0,1,0.65,2,0,60,1,2,84.7,1562.0
0,2,0.05,2,0,60,1,0,84.3,260.0
0,3,0.95,2,0,60,1,0,66.2,288.0
0,2,0.95,1,0,60,1,0,76.2,231.0
0,2,0.95,1,0,60,1,1,54.0,137.0
0,3,0.25,3,0,60,1,0,69.8,683.0
1,3,0.15,1,0,150,1,1,42.8,134.0
1,2,0.85,1,0,60,1,0,69.7,582.0
1,1,0.35,1,0,60,1,0,78.9,878.0
0,2,0.15,1,0,60,1,0,68.4,75.0
0,2,0.45,2,0,60,1,2,81.2,1744.0
1,2,0.55,1,0,60,1,2,84.7,825.0
0,2,0.45,2,0,180,1,0,58.67,224.0
0,2,0.75,2,0,120,1,0,76.5,1255.0
0,1,0.65,1,0,120,1,0,69.4,267.0
0,3,0.85,3,0,60,1,0,63.5,662.0
1,1,0.65,1,0,60,1,0,47.5,230.0
1,2,0.65,2,0,60,1,2,86.3,659.0
0,1,0.45,2,0,60,1,0,77.4,663.0
1,2,0.45,1,0,60,1,0,55.5,126.0
0,3,0.35,2,0,60,1,0,66.5,168.0
1,1,0.05,2,0,120,1,0,61.5,1298.0
1,2,0.65,1,0,60,1,0,71.3,526.0
0,3,0.95,3,0,60,1,0,74.9,791.0
1,2,0.75,1,0,120,1,0,72.9,421.0
1,2,0.15,1,0,60,1,0,70.6,273.0
0,2,0.85,2,0,60,1,0,52.1,342.0
1,2,0.75,1,1,60,1,1,67.33,2.0
1,3,0.45,1,0,60,1,0,81.3,1831.0
0,2,0.45,1,0,120,1,0,83.0,333.0
0,1,0.85,2,0,60,1,3,58.4,345.0
1,1,0.35,1,0,60,1,0,58.0,232.0
0,2,0.55,2,0,60,1,0,78.8,304.0
0,1,0.85,2,0,60,1,0,71.0,691.0
0,1,0.15,2,0,60,1,3,50.0,203.0
0,1,0.75,2,1,60,1,0,62.82,315.0
0,1,0.95,1,0,60,1,3,40.67,127.0
1,1,0.65,2,0,60,1,0,82.9,662.0
1,3,0.25,1,0,60,1,0,80.5,1213.0
0,3,0.85,3,0,60,1,0,60.9,382.0
1,3,0.95,1,0,60,1,0,67.2,880.0
0,2,0.45,1,0,60,1,1,69.71,143.0
1,2,0.45,2,0,60,1,0,56.5,463.0
1,2,0.65,2,0,60,1,3,65.86,651.0
1,2,0.45,2,1,60,1,0,77.3,451.0
1,2,0.65,1,0,120,1,2,87.6,741.0
0,3,0.75,2,0,60,1,0,64.3,614.0
0,2,0.55,1,1,60,1,3,80.2,234.0
1,2,0.65,2,0,60,1,0,77.6,634.0
1,2,0.75,2,0,60,1,0,58.0,346.0
0,2,0.15,1,0,60,1,0,59.7,127.0
0,2,0.95,2,0,60,1,0,78.7,53.0
1,2,0.75,2,0,60,1,0,66.0,898.0
0,1,0.05,1,0,60,1,0,77.9,242.0
1,1,0.25,1,1,120,1,3,69.71,9.0
1,1,0.95,2,1,60,0,0,50.62,93.0
0,1,0.95,2,0,60,1,2,84.2,640.0
0,2,0.95,2,0,60,1,1,61.7,287.0
0,2,0.95,1,1,210,1,0,46.82,206.0
0,2,0.25,2,0,60,1,1,75.0,135.0
0,1,0.35,2,0,120,0,0,61.9,209.0
0,1,0.65,1,1,120,1,0,68.12,362.0
1,2,0.35,2,1,60,0,0,80.27,718.0
1,2,0.25,2,0,60,1,0,67.2,592.0
0,2,0.65,1,0,60,1,0,68.9,69.0
1,2,0.05,1,0,120,1,3,65.8,73.0
1,1,0.95,1,0,60,1,3,71.0,241.0
1,1,0.75,1,1,120,1,0,78.85,561.0
1,2,0.85,1,0,60,1,3,73.8,896.0
0,2,0.45,2,1,60,1,3,69.0,328.0
1,2,0.45,1,0,60,0,0,62.7,572.0
1,2,0.35,1,0,60,1,1,77.0,218.0
0,3,0.75,3,0,60,1,0,76.3,614.0
0,2,0.15,2,0,60,1,0,61.3,178.0
1,1,0.35,2,0,60,0,0,76.0,1124.0
1,2,0.75,2,0,60,1,0,66.1,327.0
0,2,0.55,2,0,60,1,0,70.0,1243.0
1,3,0.95,2,0,270,1,3,85.0,571.0
0,1,0.95,1,0,60,1,0,66.4,253.0
0,1,0.15,2,0,60,1,1,57.5,91.0
0,2,0.75,2,1,60,1,0,70.18,1098.0
0,2,0.35,2,0,60,1,0,73.8,512.0
0,3,0.15,2,0,60,1,0,69.6,707.0
0,2,0.95,1,0,60,1,0,64.1,318.0
0,3,0.35,2,0,60,1,0,64.0,235.0
0,2,0.45,2,0,60,1,2,82.2,1232.0
0,3,0.55,1,0,60,1,0,70.1,523.0
0,1,0.55,2,0,60,1,0,64.9,189.0
1,1,0.35,2,0,60,1,0,59.6,743.0
0,2,0.95,1,1,180,1,0,57.09,501.0
0,2,0.45,1,0,60,1,0,46.7,117.0
0,2,0.15,1,0,60,1,0,72.2,811.0
1,1,0.65,1,0,60,1,1,42.5,199.0
1,2,0.65,1,0,60,1,0,67.8,425.0
1,2,0.45,1,0,60,1,2,85.0,774.0
1,2,0.35,2,0,120,1,0,47.0,342.0
0,2,0.25,2,0,60,1,2,82.4,626.0
0,2,0.15,2,0,60,1,2,81.1,1272.0
1,2,0.85,2,1,120,1,3,35.0,364.56
0,1,0.45,1,0,60,1,0,69.5,403.0
0,2,0.45,2,0,60,1,0,74.0,539.0
0,1,0.95,2,0,60,1,0,78.8,681.0
0,1,0.47,2,0,60,1,2,89.9,444.0
1,2,0.35,1,0,240,1,0,54.9,183.0
0,2,0.35,1,1,120,1,1,40.33,1.0
0,1,0.75,2,0,60,1,0,82.1,661.0
0,1,0.45,1,0,120,1,3,49.9,99.0
1,2,0.25,1,0,60,1,3,44.0,618.0
1,3,0.55,1,0,60,1,0,73.6,262.0
1,2,0.75,2,0,60,1,1,44.2,194.0
1,2,0.65,1,1,120,1,3,67.2,7.0
1,3,0.55,1,0,60,1,0,72.6,366.0
1,2,0.25,1,0,60,1,0,83.1,900.0
0,3,0.75,1,0,60,1,0,86.3,344.0
1,2,0.45,2,0,90,1,0,73.1,696.0
0,2,0.05,1,0,60,1,0,74.4,506.0
0,2,0.75,2,0,60,1,0,72.9,885.0
0,2,0.35,1,0,120,1,1,69.71,30.0
0,3,0.95,2,0,60,1,0,74.8,415.0
1,3,0.35,2,0,60,1,0,65.0,1412.0
0,2,0.75,1,0,60,1,0,84.6,134.0
0,2,0.45,1,0,60,1,0,82.8,676.0
1,2,0.55,2,0,60,1,0,58.7,1809.0
0,2,0.15,2,0,60,0,0,80.0,555.0
0,2,0.75,2,0,60,1,1,77.9,548.0
0,2,0.75,1,0,60,1,1,67.7,599.0
0,3,0.75,3,0,60,1,0,63.7,288.0
0,2,0.35,2,0,60,1,0,78.9,581.0
0,2,0.75,2,0,120,1,1,72.4,376.0
1,2,0.75,1,0,60,1,0,80.4,549.0
0,2,0.25,1,0,60,1,0,53.5,116.0
0,2,0.75,1,0,60,1,2,85.7,653.0
1,2,0.25,2,0,60,1,0,80.6,1063.0
1,3,0.75,1,1,60,1,0,76.9,140.0
1,2,0.55,1,0,60,1,0,75.1,1032.0
0,2,0.85,1,0,60,1,0,52.7,72.0
1,2,0.95,2,0,60,1,0,65.8,243.0
1,2,0.45,2,0,60,1,0,77.1,469.0
0,2,0.55,2,0,60,1,0,64.9,331.0
0,2,0.75,1,0,120,1,1,69.71,44.0
0,3,0.85,2,0,60,1,0,81.4,1843.0
0,2,0.05,1,0,60,1,0,67.3,532.0
0,2,0.95,2,0,60,1,2,82.9,1133.0
1,2,0.35,1,0,120,1,0,71.3,683.0
1,2,0.25,1,0,180,1,3,69.71,364.56
0,2,0.15,2,0,60,1,0,50.9,612.0
1,2,0.85,1,0,180,1,3,69.71,364.56
1,2,0.35,1,0,60,0,1,47.8,162.0
0,1,0.55,1,0,60,1,0,58.8,390.0
1,3,0.95,2,1,60,1,2,84.91,1190.0
0,2,0.65,1,0,60,1,0,81.9,767.0
0,3,0.65,1,0,60,1,1,40.2,131.0
0,2,0.85,1,0,60,1,0,71.3,246.0
1,2,0.25,1,1,60,1,0,87.2,644.0
1,2,0.35,1,0,120,1,3,44.0,32.0
0,2,0.65,2,0,60,1,0,72.0,97.0
0,3,0.15,1,0,120,1,3,68.67,500.0
1,3,0.75,1,1,60,1,0,83.09,692.0
0,3,0.95,1,0,60,1,0,73.0,71.0
1,2,0.47,1,0,60,1,0,76.7,445.0
1,2,0.25,2,0,120,1,0,72.1,202.0
0,3,0.45,2,0,120,1,3,54.33,175.0
0,2,0.85,2,0,60,1,0,75.7,175.0
0,2,0.35,1,0,120,1,0,51.3,303.0
